WKT;ID;CODIGO;NOMOFICIAL;ALT_IZQINI;ALT_IZQFIN;ALT_DERINI;ALT_DERFIN;NOMANTER;TIPO_C;LONG;OBSERVA;NOM_MAPA;SENTIDO;COD_SENT;BICISENDA;LADO_CICLO;RECORRID_X;CICLO_OBSE;TOOLTIP_BI
LINESTRING (-58.405177689565065 -34.597232774972561,-58.405490853322803 -34.597838649783576,-58.405586271166591 -34.598040955790573);8555;5001;ECUADOR;1002;1100;1001;1099;;CALLE;97.18;;ECUADOR;DECRECIENTE;;;;;;
LINESTRING (-58.444692320491221 -34.598063416004734,-58.444583922780559 -34.597975931790238,-58.443685075095665 -34.597243654011145);8558;20090;SERRANO;302;400;301;399;;CALLE;129.64;;SERRANO;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.445650277891858 -34.597196477786952,-58.445530853806574 -34.597304211700077,-58.444692320491221 -34.598063416004734);8559;17003;PADILLA;902;1000;901;999;;CALLE;130.27;corrección altura 13-1-03;PADILLA;DECRECIENTE;;;;;;
LINESTRING (-58.441652180761196 -34.597222403995382,-58.440692812729786 -34.598112621320503);8575;3174;CORRIENTES AV.;5402;5500;5401;5499;TRIUNVIRATO (parcial);AVENIDA;132.28;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.421777551428157 -34.597734912628006,-58.421829971634516 -34.597994588108079,-58.421862740803832 -34.598209114394642);8594;1008;ACUÑA DE FIGUEROA, FRANCISCO;1102;1200;1101;1199;ALMAGRO;CALLE;53.19;;FRANCISCO ACUÑA DE FIGUEROA;DECRECIENTE;;;;;;
LINESTRING (-58.399032198824052 -34.598286735806823,-58.398885321911486 -34.597126966546988,-58.398869030027747 -34.597048715568974);8611;22012;URIBURU JOSE E., Pres.;902;1000;901;999;ANDES;CALLE;138.17;;PRES.JOSE E. URIBURU;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.418967708625161 -34.598475304580987,-58.4202127508565 -34.598160450602599);8652;21060;TUCUMAN;3802;3900;3801;3899;;CALLE;119.43;;TUCUMAN;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.389782876729122 -34.597195742951605,-58.389759761731099 -34.597333410494855,-58.389725555086244 -34.598370401704798,-58.389719328540792 -34.598478500714492);8658;13118;MONTEVIDEO;902;1000;901;999;;CALLE;142.50;;MONTEVIDEO;DECRECIENTE;;;;;;
LINESTRING (-58.374187239663598 -34.598622594819247,-58.374199685494631 -34.598451188854575,-58.374227672329496 -34.597920062089521);8696;20044;SAN MARTIN;802;850;801;849;;CALLE;78.02;;SAN MARTIN;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.431913492324064 -34.597968885687173,-58.43216663199911 -34.598131349928224,-58.432993069042354 -34.598658686925951);8701;1057;ALVAREZ, JULIAN;702;800;701;799;ALVAREZ;CALLE;125.15;;JULIAN ALVAREZ;DECRECIENTE;;;;;;
